CLIENTE,ORDEN DE PIORIDAD,CONTACTADO (SI/NO),RESPUESTA SI/NO,ESTADO,LICITA (SI/NO),VIANDA/COMEDOR,PROVEEDOR ACTUAL,FECHA VOLVER A CONTACTAR,FECHA ULTIMO CONTACTO,CONTACTO PERSONAL,MAIL,CELULAR,nombre,CALENDARIZADO,COMENTARIOS,LOCALIDAD,DIRECCIÓN / REFERENCIA,FUENTE,OBSERVACIONES DEL RELEVAMIENTO,TIPO DE CORREO
EDECA PIÑEIRO,1,NO,,,,,,,,,,,,,,,"Mateo Gelvez 499, San Lorenzo",https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
ECOAIRES,,,,,,,,,,,marcos@ecoaires.com.ar,,,,,Funes,Presidente Perón 1837- San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
ECA INGENIERÍA,,,,,,,,,,,,,,,,Puerto General San Martín,Ruta Nacional N°11 Km 334 – Puerto Gral. San Martín.,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DYSCON,1,NO,,enviado,no,,,,,,,,,SI,,,Ruben Darío 1505- Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DUAMAK S.A.,,,,,,,,,,,md@duamak.com.ar,,,,,Rosario,Ruta 11 Km 335 esq. 3 de Febrero- Puerto Gral. San Martín,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Droguería 20 de Junio,,,,,,,,,,,info@drogueria20dejunio.com.ar,,,,,Pérez,Córdoba 972- Funes,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Dreyfus,3,NO,,,,,,,,,,,,,,,Alvear 614 – Fray Luis Beltrán,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DINALE PIÑEIRO,1,NO,,,,,,,,,,,,,,,Juan B. Alberdi 75.- San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Detexa SRL,,,,,,,,,,,detexaros@detexasrl.com.ar,,,,,Pérez,Córdoba 972 – Funes,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Comercial / compras
DEROSARIO SERVICIOS S.R.L.,,,,,,,,,,,derosarioservicios@hotmail.com,,,,,Rosario,Dorrego 2799- San Lorenzo.-,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DEPROP S.R.L.,,,,,,,,,,,depropsrl@gmail.com,,,,,Rosario,Los Heliotropos 258- Capitán Bermúdez,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Delta Vial,,,,,,,,,,,info@deltavial.com.ar,,,,,San Nicolás,Catamarca 2317 – Rosario.,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/5/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DEL SOL CONSTRUCTORA S.A.,,,,,,,,,,,delsol@delsol.com.ar,,,,,Rosario,Bouvier 2193 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/6/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DATAWISE,,,,,,,,,,,diego.garcia@datawise.com.ar,,,,,Rosario,Ruta A012 km 66- San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/6/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
DANES,,SI,NO,viandas,,,,,,,,3415781373,ALDANA,,lo tiene vianderia hace poco. podemos hablar con rrhh para proponer comedor,,Rastreador Fournier 640 . San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/empresa-pyme/page/6/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CVO,1,NO,,licita,SI,,,3/26,,,compras@cvosa.com.ar,3412120992,,SI,,,"Lamadrid 468 Nave 2 Oficina 5 – Rosario, Santa Fe",https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Cuarepoti,,,,,,,,,,,cuarepoti@cuarepoti.com.ar,,,,,Ramallo / COMIRSA,"Roberto Ferrari 379, Capitán Bermúdez.",https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Crystal Rock SA,,,,,,,,,,,contacto@crystalrock.com.ar,,,,,Pérez,GOBERNADOR RAMON SAAVEDRA 1480 – SAN LORENZO,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,Comercial / compras
CRISKEY,,,,,,,,,,,,,,,,San Lorenzo,Av. Dorrego 1173 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CREAR SOLUCIONES Y SERVICIOS,,,,,,,,,,,crearsolucionesyservicios@gmail.com,,,,,San Lorenzo,RUTA 11 KM 337 – PGSM Número telefónico: 3476 495292 Línea de,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,RR.HH. / empleo
CRAVER’S TOURS,,,,,,,,,,,craverogabriel@hotmail.com,,,,,Rosario,"Lamadrid 470, Oficina 1-16, Polo Tecnológico Rosario Número telefónico : +54 9 3415 41-0662 Línea de",https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CRABSA S.A.,,,,,,,,,,,crabsa@fibertel.com.ar,,,,,Rosario,Silverio Córdoba 1064 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
COTRASER LTDA.,,,,,,,,,,,cotralyfltda@hotmail.com,,,,,Rosario,Av. Real 9424 – piso 1 – oficina 5 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CORTEVA AGRISCIENCE,,,,,,,,,,,infoargentina@corteva.com,,,,,Puerto Gral. San Martín,Artigas 777 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CORREO ANDREANI,,,,,,,,,,,gconesa@andreani.com,,,,,San Lorenzo,Lamadrid 470 Nave 2 –  Polo Tecnológico Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Cormetal S.A.,,,,,,,,,,,cormetal@cormetalsa.com.ar,,,,,Pérez,José Hernández 1220 – Piso 1 n°5 –  Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONYLOG S.R.L.,,,,,,,,,,,ctimoszuk@conylog.com.ar,,,,,Alvear,Dorrego 2175 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONSULTORES DE EMPRESAS,,,,,,,,,,,info@consultoresdeempresas.com,,,,,San Lorenzo,Dorrego 1835 –  San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/2/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
CONSTRUCCIONES Y SERVICIOS ROCABADO S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,Catamarca 523 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONSTRUCCIONES Y SERVICIOS AMERICA S.A.,,,,,,,,,,,luciano@americaconstrucciones.com,,,,,Rosario,Gral. López 3107 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONSTRUCCIONES TRES S.R.L.,,,,,,,,,,,construccionestres@c3srl.com.ar,,,,,Rosario,Chacabuco 1182- Granadero Baigorria,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONSTRUCCIONES SL S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,Tucuman 752 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
CONSTRUCCIONES CIC S.A.,,,,,,,,,,,cicsa@cicsaingenieria.com,,,,,Rosario,San Lorenzo- Santa Fe,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Consorcio de Gestión del Puerto de San Nicolás,,,,,,,,,,,rrhh@puertosannicolas.com,,,,,San Nicolás,Av. San Martin 865 –  San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONHORMAQ S.R.L.,,,,,,,,,,,marcelogaspari@conhormaq.com.ar,,,,,Rosario,Malvinas Argentinas 74. Capitán Bermúdez,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CONEXYS S.R.L.,,,,,,,,,,,administracion@conexys.com.ar,,,,,Rosario,3 de febrero 636- San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/4/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Condor Group,,,,,,,,,,,condor@condorgroup.com.ar,,,,,Pérez,Juan Ortiz 215 – Capitán Bermúdez,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
Colvinil,,,,,,,,,,,info@colvinil.com.ar,,,,,Pérez,Brown 1879 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
COIRINI,1,NO,,,,,,,,,,,,,,,Alsina 1543 – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
COFCO INTERNATIONAL,,,,,,,,,,,info@cofcointernational.com,,,,,Puerto General San Martín,Corrientes 730 – Piso 4- dtpo. B – Rosario,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
COCIVIAL S.A.,,,,,,,,,,,cocivial@cocivial.com.ar,,,,,Rosario,Belgrano 253 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CLOROMIL,,,,,,,,,,,movilclormil@gmail.com,,,,,San Lorenzo,Entre Ríos 474 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
CISB,,,,,,,,,,,info@cisb.com.ar,,,,,Rosario,Hipólito Yrigoyen 3680 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CIA. ROSARINA DE DESOBSTRUCCIONES S.R.L.,,,,,,,,,,,estelacoria1@hotmail.com,,,,,Rosario,Remondino 948 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/servicios-profesionales/page/3/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CHL INGENIERIA Y CONSTRUCCIONES S.R.L.,,,,,,,,,,,gerencia@chlingenieria.com.ar,,,,,Rosario,Ruta Provincial 10 y Autopista Rosario-Santa Fe – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,RR.HH. / empleo
Chiaza Servicios Industriales,,,,,,,,,,,empleos@chiaza.com.ar,,,,,San Lorenzo,Av. San Martin 98 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Comercial / compras
"CENTRO ENTREGADORES DE CEREALES, OLEAGINOSAS Y AFINES",,,,,,,,,,,,,,,,San Lorenzo,Av. Cacique Mangore 14264 – Timbúes,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,RR.HH. / empleo
CENBRAU S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,Casilla de Correo 61 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Celulosa,2,NO,,,,,,,,,,,,,,,Hipólito Yrigoyen 2900 – Puerto Gral. San Martín.,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CELOTTO CONSTRUCCIONES S.R.L.,,,,,,,,,,,celotto@celotto.com.ar,,,,,Rosario,Brigadier Lopez y Favaloro – Timbúes,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Sin correo público
CEDUE S.A.,,,,,,,,,,,ceduesa@gmail.com,,,,,Rosario,Castelli y Estanislao Lopez – Timbúes,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CEDIMET,,,,,,,,,,,ventas@cedimet.com.ar,,,,,Fray Luis Beltrán,Colectora Au. Rosario – Santa Fe 1356 – Fray Luis Beltrán,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
CASALINGA,,,,,,,,,,,,,,,,San Lorenzo,Acceso Norte Autopista y Ruta 11 – San Lorenzo,https://www.camara-sl.org.ar/website/categoriaasociado/industria/,Directorio Cámara San Lorenzo; tamaño a validar,Contacto general
Cartopel,,,,,,,,,,,cartopel@cartopel.com.ar,,,,,Pérez,Benielli 398,https://www.camara-sl.org.ar/website/asociado/molinos-rio-de-la-plata-s-a/ | https://molinosagro.com.ar/wp-content/uploads/2025/08/MOA-Reporte-de-Sustentabilidad-2024-2025.pdf,Contacto público; validar tamaño y vigencia; correo público verificado (área Sustentabilidad),Área Sustentabilidad
CARNEVALI MARCHI S.R.L.,,,,,,,,,,,,,,,,San Lorenzo,Gob. Ramón Saavedra 298 (Ruta AO12),https://chiaza.com.ar/ingenieria-y-obras/,Contacto público; validar tamaño y vigencia,RR.HH. / empleo
carlini hnos,1,NO,,,,,,,,,compras2@carlinihnos.com.ar,,,,,,Av. Belgrano 2015,https://tpr.com.ar/ubicacion-estrategica/accesos,Contacto público; validar tamaño y vigencia,Contacto general
Cargill,1,NO,,,,,,,,,,,,,,,Córdoba 2227,https://grupoorono.com.ar/contacto,Contacto público; validar tamaño y vigencia,Contacto general
CAPSI,,,,,,,,,,,info@capsisrl.com.ar,,,,,San Lorenzo,Av. Provincias Unidas 205 bis,https://www.ternium.com/es/contactanos/nuestras-oficinas,Contacto público; validar tamaño y vigencia,Sin correo público
CAPAZE S.R.L.,,,,,,,,,,,capazesrl@gmail.com,,,,,Rosario,Av. Savio s/n,https://www.ternium.com/es/contactanos/nuestras-oficinas,Contacto público; validar tamaño y vigencia,Sin correo público
CALIDAD ASEGURADA EN AGUAS S.A.,,,,,,,,,,,ingenierosaravia@sdingenieria.com.ar,,,,,Rosario,Román Subiza 1960,https://www1.aesargentina.com.ar/es/contactanos,Contacto público; validar tamaño y vigencia,Contacto general
CAI,,,,,,,,,,,info@cai.com.ar,,,,,Pérez,Av. Román Subiza y RN 188,https://puertosannicolas.com/licitaciones/,Contacto público; validar tamaño y vigencia,RR.HH. / empleo
C.P.Q.,,,,,,,,,,,contacto@cpqsrl.com.ar,,,,,San Lorenzo,Av. Las Rosas 190,https://www.moviportsa.com.ar/,Contacto público; validar tamaño y vigencia,RR.HH. / empleo
BUNGE PLANTA,1,SI,SI,,SI,,,,,,silvia.garello@bunge.com,,,,,,Av. San Martín 475,https://stg-uy.gerdau.com/sites/uy_gerdau/files/downloadable_files/Cat%C3%A1logo%20-%20Perfiles%20W.pdf,Contacto público; validar tamaño y vigencia,Comercial / compras
BUNGE NORDLINK,1,SI,SI,,SI,,,,,,silvia.garello@bunge.com,,,,,,Eva Perón 1350,https://gemplast.com/contacto/,Contacto público; validar tamaño y vigencia,Contacto general
BRUMONT S.A.,,,,,,,,,,,pmontaldo@brumont.com.ar,,,,,Rosario,"Ruta 14 km 12,8",https://prodinsa.com.ar/contacto | https://prodinsa.com.ar/terapicos-para-semillas/,Contacto público; validar tamaño y vigencia,Contacto general
BRIMAX,,,,,,,,,,,info@brimaxargentina.com.ar,,,,,Rosario,Ruta A012 km 15,https://www.alboradasrl.com.ar/contacto-nueva/,Contacto público; validar tamaño y vigencia,Contacto general
BRICKET,,SI,NO,PRESENTACION ENVIADA,,,,,,,VENTAS@briket.com.ar,,,,La tiene alguien,,"Ruta A012 km 9,5",https://gruporm.com.ar/web/contacto/,Contacto público; validar tamaño y vigencia,Contacto general
BRAJKOVIC S.A.I.,,,,,,,,,,,obras@brayco.com.ar,,,,,San Lorenzo,"Ruta 18 km 1,7",https://www.santafe.gob.ar/boletinoficial/verPdf.php?seccion=2025%2F2025-03-13contratos.html,Contacto público; validar tamaño y vigencia,Sin correo público
BORDO ARQUITECTURA S.R.L.,,,,,,,,,,,nblanco@bordoarquitectura.com,,,,,Rosario,Av. Industria Nacional 650 y Av. Central Energía Argentina Sur 302,https://mtrsa.com.ar/contacto/,Contacto público; validar tamaño y vigencia,Contacto general
BOERO,1,SI,SI,ENVIAR PRESUPUESTO,no,vianda/ convencer p/comedor,,,,hermano de busy,apistoni@carlosboero.com.ar,3412215504,,,VIANDAS/COMEDOR,,Azucena Villaflor 815 (ex Av. San Nicolás),https://misa.com.ar/contacto/,Contacto público; validar tamaño y vigencia,RR.HH. / empleo
Bioxen,,,,,,,,,,,info@bioxen.com.ar,,,,,Pérez,Calle 3 n.º 1110,https://www.loberaz.com.ar/contacto.php,Contacto público; validar tamaño y vigencia,Contacto general
BIOCERES,,NO,,,NO,,,,,,,,,,VIANDAS,,Av. Industria Nacional y Calle 5,https://cuarepoti.com.ar/contacto/,Contacto público; validar tamaño y vigencia,Contacto general
BG PUERTO DE CABOTAJE,,,,,,,,,,,bg@guarderianauticabg.com.ar,,,,,San Lorenzo,Calle 5 Este n.º 1135,https://zapatahnos.com.ar/lista-trabajos-realizados/,Contacto público; validar tamaño y vigencia,Contacto general
BASF,1,SI,SI,,SI,COMEDOR,,,,,,3416185476,MAELA,,COMEDOR,,Calle 5 Este 1090,https://tecnoreparaciones.com.ar/Home/RRHH,Contacto público; validar tamaño y vigencia,Contacto general
BAREDES S.A.,,,,,,,,,,,,,,,,San Lorenzo,Av. Savio 1245,https://tecnoreparaciones.com.ar/Home/RRHH,Contacto público; validar tamaño y vigencia,Contacto general
BAGLIETTO,2,SI,SI,presupuesto enviado,NO,VIANDA,VIANDERIA,,,,gabriela@bagliettoestructuras.com,3416182835,gabriela,,VIANDAS,,"La Emilia, partido de San Nicolás (calle a confirmar)",https://grupolaemilia.com.ar/nuestra-historia/ | https://motomel.com.ar/preguntas-frecuentes/,Contacto público; validar tamaño y vigencia,Contacto general
AVIGLIANO,,,,,,,,,,,tecnica@aviglianosa.com.ar,,,,,San Lorenzo,Hipólito Irigoyen y Lisandro de la Torre,https://www.camara-sl.org.ar/website/asociado/alto-parana/ | https://arauco.com/argentina/contactanos/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia; correo público verificado,Contacto general
Autologica,2,NO,,,,,,,,,,,,,,,Alemania 555,https://www.camara-sl.org.ar/website/asociado/avigliano-s-a/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ASOCIACIÓN COOPERATIVAS ARGENTINAS Puerto Timbúes,,,,,,,,,,,,,,,,Timbúes,América 100,https://www.camara-sl.org.ar/website/asociado/bg-puerto-de-cabotaje/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ARQUIMIA S.A.,,,,,,,,,,,,,,,,San Lorenzo,Av. San Martín 2474 – Fray Luis Beltrán,https://www.camara-sl.org.ar/website/asociado/cedimet-s-r-l/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Comercial / compras
Arneg,2,NO,,,,,,,,,,,,,,,Urquiza 1101 y Dorrego 749 – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/cloromil/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ARMANDO S.R.L.,,,,,,,,,,,carosilvina@hotmail.com,,,,,Rosario,Parque industrial Lote III B San Lorenzo,https://www.camara-sl.org.ar/website/asociado/cpq-asociados/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ARGENTAL,2,NO,,,,,,,,,,3415411669,SANDRA,,COMEDOR,,Bv. Rondeau 304 – Rosario,https://www.camara-sl.org.ar/website/asociado/green-lab/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ARGELEC S.A.,,,,,,,,,,,,,,,,San Lorenzo,Suipacha 888 – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/grupo-brayco/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
arenera alzua,1,SI,SI,presupuesto enviado,,,,,,,matias@arenasalzua.com.ar,3413703676,,,,,Bv. Sargento Cabral 1264,https://www.camara-sl.org.ar/website/asociado/irt/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ARAUCO ARGENTINA,,,,,,,,,,,info@araucoargentina.com,,,,,Puerto General San Martín,Eva Perón 5095 – Rosario,https://www.camara-sl.org.ar/website/asociado/lta-motors/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Sin correo público
ANTONINO MILISENDA S.A.,,,,,,,,,,,antoninomilisendasa@gmail.com,,,,,Rosario,Av. San Martín 150 – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/marigo-perforaciones/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Comercial / compras
Amichem SRL,,,,,,,,,,,ventas@amichem.com.ar,,,,,Pérez,Parque Industrial San Lorenzo,https://www.camara-sl.org.ar/website/asociado/mefa-ingenieria/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ALUMINIOS Y VIDRIOS GROUP S.R.L.,,,,,,,,,,,pabloalacano@ayvroup.com.ar,,,,,Rosario,Hipólito Hirigoyen 890 – Puerto General San Martín,https://www.camara-sl.org.ar/website/asociado/montarfe-srl/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Comercial / compras
ALÌ ABOGADOS,,,,,,,,,,,contacto@aliabogados.com.ar,,,,,San Lorenzo,José Marques 199 – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/nequen-san-lorenzo/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ALDANA AISLACIONES,,,,,,,,,,,aislacionesaldana@hotmail.com.ar,,,,,San Lorenzo,Cuba y Roca S/N,https://www.camara-sl.org.ar/website/asociado/nidera-s-a/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
Alborada SRL,,,,,,,,,,,recepcion@alboradasrl.com.ar,,,,,Piñero,Ruta 11 Km 25 – San lorenzo,https://www.camara-sl.org.ar/website/asociado/nouryon/ | https://fisfe.org.ar/fisfe_control/files/audios/1_1621455929_EMPRESAS-ASOCIADAS.pdf,Directorio Cámara San Lorenzo; verificar tamaño y vigencia; correo público verificado (fuente FISFE 2021; confirmar vigencia),Contacto general (verificar vigencia)
AL SERVICIO S.R.L.,,,,,,,,,,,alserviciosrl@hotmail.com,,,,,Rosario,Calle 11 y Scapigliatti / Ruta A012 Km 64- San lorenzo,https://www.camara-sl.org.ar/website/asociado/nuevo-vicentin-argentina/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Sin correo público
AIN SERVICIOS S.R.L.,,,,,,,,,,,administracion@automatismosind.com.ar,,,,,Capitán Bermúdez,Feliciano Silva 665 – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/olimar-s-a/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
AES Argentina — Central San Nicolás,,,,,,,,,,,rrii@aes.com,,,,,San Nicolás,Colectora Ruta 012 y Autopista Rosario – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/patagonia-bioenergia-s-a/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
AERCOM,,,,,,,,,,,info@aercom.com.ar,,,,,Rosario,Av. Heroes de Malvinas 8608,https://www.camara-sl.org.ar/website/asociado/profertil/ | https://www.profertil.com.ar/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia; correo público verificado,Contacto general
ADOLFO SARTORI S.A.,,,,,,,,,,,,,,,,San Lorenzo,Berón de Astrada 3397 – San Lorenzo,https://www.camara-sl.org.ar/website/asociado/rental-sur-s-r-l/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ADOBE CONSTRUCCIONES S.R.L.,,,,,,,,,,,administracion@adobeconstrucciones.com.ar,,,,,Alvear,25 de Mayo 477 – Aldao,https://www.camara-sl.org.ar/website/asociado/servi-rio-s-a/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ADIENT,1,SI,SI,en licitación,SI,,,,,,maria.sciascia@adient.com,3415967505,RODRI,,COMEDOR,,San Lorenzo 2580,https://www.camara-sl.org.ar/website/asociado/sinergia-servicios/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ACEITERA GENERAL DEHEZA,,,,,,,,,,,gdeheza@agd.com.ar,,,,,Timbúes,"Fernando el católico 4214, unidad 2-02 del edificio Hayde – Rosario",https://www.camara-sl.org.ar/website/asociado/smp-seguridad/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ACEIRA???,,NO,,,,,,,,,,,,,,,Gobernador Molinas 651 – Fray Luis Beltrán,https://www.camara-sl.org.ar/website/asociado/soime-s-r-l/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ACA VENADO (aramak),1,NO,,,,,,,,,,,,,COMEDOR,,Ricchieri 564 –  Piso 3/4,https://www.camara-sl.org.ar/website/asociado/solamb/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,RR.HH. / empleo
AC Arquitectura e Ingeniería,,,,,,,,,,,consultas@ac.com.ar,,,,,Pérez,Hipólito Irigoyen y Costa de Río Paraná. Puerto Gral. san Martín,https://www.camara-sl.org.ar/website/asociado/terminal-6-asociados/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
ABC COMEX,,,,,,,,,,,,,,,,San Lorenzo,Lamadrid 358 – San lorenzo,https://www.camara-sl.org.ar/website/asociado/tork-s-a/,Directorio Cámara San Lorenzo; verificar tamaño y vigencia,Contacto general
